,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
205,0,0,0,0,0,0.0,45,70,7501456
206,0,0,0,0,0,0.0,322,2031,7501456
207,0,0,0,0,0,0.0,173,2869,7501456
208,0,0,0,0,0,0.0,45,60,7501456
209,0,0,0,0,0,0.0,276,19617,7501456
210,0,0,0,0,0,0.0,212,1927,7501456
211,45,177,1965,1,2,0.14122466580422596,602,4144,7501456
212,2545,46091,11242,4,15,0.09396051685806463,17939,356851,7501456
213,0,0,0,0,0,0.0,200,4647,7501456
214,0,0,0,0,0,0.0,1337,26070,7501456
215,52,138,1455,1,1,0.11383195118134877,279,669,7501456
216,0,0,0,0,0,0.0,265,676,7501456
217,79,577,252,1,1,0.028432810560758207,410,1907,7501456
218,0,0,0,0,0,0.0,228,860,7501456
219,0,0,0,0,0,0.0,2373,11044,7501456
220,0,0,0,0,0,0.0,1176,4186,7501456
221,137,474,1009,1,2,0.05312763268744734,471,1511,7501456
222,0,0,0,0,0,0.0,556,2240,7501456
223,0,0,0,0,0,0.0,297,1504,7501456
224,0,0,0,0,0,0.0,74,168,7501456
225,16,25,1962,1,1,0.12074589205489569,184,324,7501456
226,0,0,0,0,0,0.0,88,207,7501456
227,0,0,0,0,0,0.0,383,1833,7501456
228,0,0,0,0,0,0.0,55,202,7501456
229,0,0,0,0,0,0.0,53,242,7501456
230,0,0,0,0,0,0.0,76,792,7501456
231,0,0,0,0,0,0.0,51,312,7501456
232,0,0,0,0,0,0.0,136,721,7501456
233,0,0,0,0,0,0.0,46,175,7501456
234,0,0,0,0,0,0.0,53,426,7501456
235,25,49,1263,2,2,0.12598503740648379,319,1054,7501456
236,0,0,0,0,0,0.0,289,984,7501456
237,0,0,0,0,0,0.0,176,3356,7501456
238,0,0,0,0,0,0.0,53,275,7501456
239,0,0,0,0,0,0.0,71,413,7501456
240,0,0,0,0,0,0.0,47,157,7501456
241,0,0,0,0,0,0.0,24,85,7501456
242,0,0,0,0,0,0.0,41,181,7501456
243,0,0,0,0,0,0.0,152,2148,7501456
244,0,0,0,0,0,0.0,190,2598,7501456
245,0,0,0,0,0,0.0,152,1538,7501456
246,0,0,0,0,0,0.0,53,918,7501456
247,0,0,0,0,0,0.0,186,1656,7501456
248,0,0,0,0,0,0.0,56,360,7501456
249,102,361,829,1,1,0.08294147073536769,668,8408,7501456
250,0,0,0,0,0,0.0,156,1364,7501456
251,0,0,0,0,0,0.0,505,11800,7501456
252,24,34,1962,1,1,0.1159368906222301,212,956,7501456
253,0,0,0,0,0,0.0,407,3385,7501456
254,0,0,0,0,0,0.0,404,2521,7501456
255,0,0,0,0,0,0.0,125,778,7501456
256,0,0,0,0,0,0.0,44,83,7501456
257,0,0,0,0,0,0.0,37,51,7501456
258,0,0,0,0,0,0.0,54,79,7501456
259,67,1177,453,1,1,0.0700479356734189,276,4663,7501456
260,0,0,0,0,0,0.0,96,127,7501456
261,0,0,0,0,0,0.0,183,2330,7501456
262,0,0,0,0,0,0.0,261,2289,7501456
